Antenna Designator,,,,A27CR3P6B_mod,,Shift,,,,New Proposed Set with Distances from Antenna 1,,,,,,,Installed,,,,Variance1*,,Variance2**,
Antenna #,,Name,Serial #,Easting,Northing,Easting,Northing,Date,Reason,Easting,Northing,DE,DN,DR,long,lat,Easting,Northing,Elevation,Date,Easting,Northing,Easting,Northing
1,,,,463334.00,7047071.00,,,,,463334.00,7047071.00,0.00,0.00,0.00,,,463334.04,7047071.01,370.14,May-10,-0.04,-0.01,-0.04,-0.01
2,,,,463361.00,7047058.00,,,,,463361.00,7047058.00,27.00,-13.00,29.97,,,,,,,,,,
3,,,,463369.94,7047078.50,,,,,463369.94,7047078.50,35.94,7.50,36.71,,,463369.99,7047078.50,369.58,May-10,-0.05,0.00,-0.05,0.00
4,,,,463325.00,7047106.00,,,,,463325.00,7047106.00,-9.00,35.00,36.14,,,,,,,,,,
5,,,,463260.00,7047102.50,,,,,463260.00,7047102.50,-74.00,31.50,80.43,,,,,,,,,,
6,,,,463469.66,7047183.00,,,,,463469.66,7047183.00,135.66,112.00,175.92,,,463469.70,7047183.01,367.89,May-10,-0.04,-0.01,-0.04,-0.01
7,,,,463576.75,7046961.00,,,,,463576.75,7046961.00,242.75,-110.00,266.51,,,,,,,,,,
8,,,,463296.19,7046832.50,,,,,463296.19,7046832.50,-37.81,-238.50,241.48,,,463296.23,7046832.50,370.81,May-10,-0.04,0.00,-0.04,0.00
9,,,,463072.75,7047186.50,463089.00,7047181.00,May-10,avoid big rock,463089.00,7047181.00,-245.00,110.00,268.56,,,463089.83,7047181.56,370.11,May-10,-0.83,-0.56,-17.08,4.94
10,,,,463237.69,7047350.50,,,,,463237.69,7047350.50,-96.31,279.50,295.63,,,,,,,,,,
11,,,,463601.97,7047411.50,,,,,463601.97,7047411.50,267.97,340.50,433.30,,,,,,,,,,
12,,,,463729.81,7047340.50,,,,,463729.81,7047340.50,395.81,269.50,478.85,,,,,,,,,,
13,,,,463772.78,7046707.00,,,,,463772.78,7046707.00,438.78,-364.00,570.11,,,,,,,,,,
14,,,,463309.22,7046611.00,,,,,463309.22,7046611.00,-24.78,-460.00,460.67,,,,,,,,,,
15,,,,462594.28,7046913.00,,,,,462594.28,7046913.00,-739.72,-158.00,756.40,,,,,,,,,,
16,,,,462697.88,7047436.50,,,,,462697.88,7047436.50,-636.13,365.50,733.65,,,,,,,,,,
17,,,,462837.16,7047593.50,,,,,462837.16,7047593.50,-496.84,522.50,721.01,,,,,,,,,,
18,,,,463227.25,7047446.50,,,,,463227.25,7047446.50,-106.75,375.50,390.38,,,,,,,,,,
19,,,,463551.84,7047552.50,,,,,463551.84,7047552.50,217.84,481.50,528.49,,,,,,,,,,
20,,,,463840.34,7047386.00,,,,,463840.34,7047386.00,506.34,315.00,596.33,,,,,,,,,,
21,,,,464020.13,7047393.00,,,,,464020.13,7047393.00,686.13,322.00,757.93,,,,,,,,,,
22,,,,464179.84,7047407.00,,,,,464179.84,7047407.00,845.84,336.00,910.14,,,,,,,,,,
23,,,,463333.31,7046414.00,,,,,463333.31,7046414.00,-0.69,-657.00,657.00,,,,,,,,,,
24,,,,463425.59,7046092.50,463526.00,7046093.00,2009,avoid Ptilotus Beardii,463526.00,7046093.00,192.00,-978.00,996.67,,,,,,,,,,
25,,,,462720.41,7047724.50,,,,,462720.41,7047724.50,-613.59,653.50,896.41,,,,,,,,,,
26,,,,462940.72,7047738.50,,,,,462940.72,7047738.50,-393.28,667.50,774.74,,,,,,,,,,
27,,,,462263.53,7048012.00,,,,,462263.53,7048012.00,-1070.47,941.00,1425.27,,,,,,,,,,
28,,,,463583.78,7048269.50,,,,,463583.78,7048269.50,249.78,1198.50,1224.25,,,,,,,,,,
29,,Diggidumble,1,463890.13,7047805.00,463900.00,7047824.00,Oct-09,shift to get to clear area,463900.00,7047824.00,566.00,753.00,942.00,,,463899.97,7047824.22,347.62,Nov-09,0.03,-0.22,-9.84,-19.22
30,,,,464563.09,7047869.50,,,,,464563.09,7047869.50,1229.09,798.50,1465.70,,,,,,,,,,
31,,,,465555.00,7048064.00,,,,,465555.00,7048064.00,2221.00,993.00,2432.88,,,,,,,,,,
32,,,,466359.00,7044564.00,466359.00,7044564.00,2009,shift away from MWA,466359.00,7044564.00,3025.00,-2507.00,3928.83,,,,,,,,,,
33,,,,463359.00,7044260.00,,,,,463359.00,7044260.00,25.00,-2811.00,2811.11,,,,,,,,,,
34,,,,460359.00,7045064.00,,,,,460359.00,7045064.00,-2975.00,-2007.00,3588.69,,,,,,,,,,
35,,,,461163.00,7048064.00,,,,,461163.00,7048064.00,-2171.00,993.00,2387.32,,,,,,,,,,
36,,,,463359.00,7050260.00,,,,,463359.00,7050260.00,25.00,3189.00,3189.10,,,,,,,,,,
