ASKAP Antenna Configuration,,,,,,,,,,,,
,,,,,,,,,,,,
Antenna Designator,,,,,,Installed ***,,,,,,
Antenna # (Pad #),CETC54 Serial #,Name,Description,IP Address,Antenna (Pad) #,Easting,Northing,Latitude **,Longitude **,Elevation,Height Measured with hand held GPS,Date Installed
1,6,Biyarli,Galah,192.168.1.106,1,463334.040,7047071.010,-26.6970007220,116.6314242859,370.14,390,May-10
2,7,Birliya,Flat-leaf Mineritchie tree,192.168.1.107,2,463361.018,7047057.999,-26.6971188993,116.6316950935,not measured,378,2011
3,2,Bundara,Stars,192.168.1.102,3,463369.990,7047078.500,-26.6969340339,116.6317858760,369.58,380,May-10
4,8,Bimba,Edible gum,192.168.1.108,4,463325.061,7047106.018,-26.6966844076,116.6313350455,not measured,379,2011
5,9,Gagurla,Bush pear,192.168.1.109,5,463260.048,7047102.513,-26.6967143551,116.6306814286,not measured,381,2011
6,4,Wilara,Moon,192.168.1.104,6,463469.700,7047183.010,-26.6959930302,116.6327911944,367.89,375,May-10
7,19,Irra bardi,Good mouth and lips,192.168.1.119,7,463576.900,7046961.030,-26.6980000253,116.6338623632,not measured,381,2011
8,5,Jirdilungu,The Milky Way,192.168.1.105,8,463296.230,7046832.500,-26.6991531922,116.6310372796,370.81,378,May-10
9,3,Balayi,Lookout,192.168.1.103,9,463089.830,7047181.560,-26.6959961951,116.6289726981,370.11,382,May-10
10,10,Bardi,Wajarri name of Bertie Mitchell (Wajarri Elder and Lore Man); also a witchetty grub,192.168.1.110,10,463237.724,7047350.506,-26.6944746931,116.6304642494,not measured,375,2011
11,23,Manggawarla,Hat - this represents both races on the Mirchison: it is the stockman's hat that both the Wajarri traditional owner and the Station owner wear.,192.168.1.123,11,463601.991,7047411.549,-26.6939330301,116.6341275746,not measured,376,2011
12,21,Yalibirri,Emu,192.168.1.121,12,463729.965,7047340.486,-26.6945779527,116.6354119050,not measured,375,2011
13,25,Jabi,Small lizard,192.168.1.125,13,463772.760,7046707.005,-26.7002986290,116.6358238913,not measured,381,2011
14,20,Gagu,Crow,192.168.1.120,14,463309.180,7046611.001,-26.7011533985,116.6311610162,not measured,379,2011
